parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk,dist_transit_ft,transit_15min_walk,dist_to_hospital_ft,hospitals_15min_walk,total_popE,median_incomeE,per_cap_incomeE,PCBACHMORE,PCTPOVERTY,dist_to_nearest_school_ft,schools_within_15min_walk,age,age2,cooks_d,fitted,residual
401031800,2024-04-24,15.048726872113876,3,0.6931471805599453,7.090076835776092,19143,1,4,4,71,2675825.71946107,229523.02808271,5003,6.212672518941628,2,5.703154822125944,128,8.72664201030274,0,2317,40046,9.72046575062778,12.142857142857142,29.43461372464394,4.178703542390254,8,105,9.30801139914963,0.0023761255539790365,11.73001708727184,3.3187097848420364
452293300,2024-12-06,15.01860327512709,2,0.6931471805599453,6.955592608396297,19134,1,4,4,188,2709665.64456323,252807.5704243,7764,7.372827544658228,5,5.3958897064294975,122,8.838912346538796,0,3794,20010,8.962263554116761,0.8314855875831485,77.83342119135477,4.899516931973952,11,105,9.30801139914963,0.002369137763247044,11.34048613110907,3.67811714401802
433103200,2024-04-24,15.048726872113876,3,0.6931471805599453,7.0909098220799835,19140,1,4,4,198,2699482.78599198,258134.40983622,5867,7.702254504648255,1,6.225082513068275,170,8.246625311450822,0.6931471805599453,6456,37574,9.62839259558982,16.176470588235293,22.25836431226766,6.905620176914972,20,85,8.885440911707585,0.0023369607859660994,11.687544327636253,3.3611825444776224
252099800,2024-12-06,15.01860327512709,3,0.6931471805599453,7.0909098220799835,19134,1,4,5,178,2705642.94361915,250685.9900218,10761,7.206167341073678,4,5.259717656276599,163,8.126829479501476,0.6931471805599453,6592,32009,9.855661923053525,16.23108665749656,40.47330097087379,6.525945046642993,18,105,9.30801139914963,0.002323500505193127,11.434314398951553,3.5842888761755365
034100100,2024-04-24,15.048726872113876,3,0.6931471805599453,7.048386408721883,19143,1,4,4,65,2674142.59126565,229377.36925329,4262,7.237401063805682,2,6.669552557629314,106,8.743057055575052,0,4672,43081,9.912645490320894,14.191988950276244,19.34931506849315,7.314530692900465,8,100,9.210440366976515,0.002316391436620389,11.897639284877405,3.151087587236471
432286000,2024-04-24,15.048726872113876,3,0.6931471805599453,7.208600337960199,19140,1,5,4,198,2699459.21156406,257486.33173604,5599,7.9328483619544095,3,6.373378324709086,184,8.157225353823067,0.6931471805599453,6456,37574,9.62839259558982,16.176470588235293,22.25836431226766,7.0991688668422235,22,100,9.210440366976515,0.002285765850398351,11.73406665769879,3.3146602144150865
451398500,2024-12-06,15.01860327512709,3,0.6931471805599453,6.933423025730715,19134,1,4,4,382,2709316.81159948,249962.2650913,6759,7.358781757034755,6,5.337442168212005,119,8.86215027430543,0,2819,40837,10.225099926250316,10.60756972111554,31.181269953884357,7.474258269266624,12,105,9.30801139914963,0.002252373613699235,11.582091769557197,3.4365115055698934
281281800,2024-01-20,14.66495268918727,3,0.6931471805599453,6.683360945766275,19132,1,3,3,169,2690549.53909473,251037.45060496,7591,7.256905166596939,3,6.530242537993925,174,8.85872687305783,0,3356,27479,10.34586301466439,6.957287538529282,28.87365911799762,6.799932370740682,15,110,9.401043372798052,0.002195776798486049,10.983627494050216,3.6813251951370543
381124600,2024-05-22,14.680541679094103,3,0.6931471805599453,6.846943139585379,19132,1,4,4,172,2690380.77794932,252955.16363305,5853,7.199896818752116,2,6.765849508491519,156,8.736989054431614,0,4415,47102,9.974365313169566,10.287648054145516,15.605889014722536,7.040639260537733,16,85,8.885440911707585,0.0021758092923678464,11.068000829929854,3.6125408491642497
401118600,2024-04-24,15.048726872113876,3,0.6931471805599453,7.265429723253953,19143,1,5,4,65,2674678.09150697,228885.67273013,4871,6.7697459024649325,3,4.385821301858405,126,8.813256348549446,0,4672,43081,9.912645490320894,14.191988950276244,19.34931506849315,7.011745705547057,7,105,9.30801139914963,0.002169320899611675,12.006665575568535,3.0420612965453415
