parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk
621358700,2023-03-20,127000,3,1,1188,1940,19124,1,4,4,302,2715816.74643423,264618.69936106,4495,1656.7364872784176,3
461117600,2023-03-08,1025000,6,4,4932,1891,19143,1,4,3,78,2678864.5001289,233364.72643605,4392,1162.9389697337017,2
411120800,2023-03-20,75000,3,1,1170,1910,19135,1,5,5,381,2722984.97192715,259271.0614343,2605,1870.4004883902967,3
511129500,2023-03-03,290000,3,1,1056,1925,19143,1,4,3,78,2677434.29498406,233866.47969763,5377,2039.4677393005102,3
406039100,2023-03-17,90000,3,1,1104,1916,19142,1,4,4,62,2675082.21996382,223364.01054513,4873,1330.4910063075245,3
381254700,2023-02-28,50000,4,1,1260,1940,19132,1,4,4,172,2689479.35947657,252955.83653197,5701,1284.778958866651,2
212348176,2023-03-17,576500,3,2,2312,2010,19128,1,3,3,216,2672446.04216531,266560.93432172,829,2251.0264336675073,1
281406800,2023-03-15,60000,3,1,956,1915,19132,1,4,4,172,2690497.37876599,252383.9275708,6582,1912.874507233165,3
433211500,2023-03-20,62750,3,1,1032,1930,19140,1,4,4,197,2699440.59513147,260017.91689597,5556,1042.5470932651156,1
151197800,2023-03-03,410000,2,2,988,1920,19130,1,3,3,136,2689957.60786389,242644.6675218,5670,2486.733903242513,5
561092800,2023-03-17,262000,3,2,1080,1960,19111,1,4,4,338,2718533.09533224,277243.51072554,1828,3104.5152828102955,1
512005300,2023-03-15,536000,5,1,2304,1920,19143,1,4,4,78,2677560.93843156,233482.67370671,5178,1659.9499456530764,3
361233900,2023-02-28,230000,3,1,1424,1923,19146,1,4,4,20,2688850.05200815,231020.51721372,4798,1372.3416493280022,6
281040600,2023-03-03,127000,2,1,1072,1915,19132,1,4,3,169,2689902.83631989,249935.65326788,7652,1082.0258922951928,4
151185600,2023-03-01,395000,2,1,840,1920,19130,1,3,3,136,2690139.19706765,243039.24448855,6291,2457.301744339279,6
572291200,2023-03-15,323900,3,1,1480,1957,19114,1,4,3,348,2736216.01698731,277229.37820788,1488,2589.9724931956453,1
551178400,2023-03-08,257000,3,1,1120,1950,19149,1,4,4,316,2722328.4722559,267198.84577554,4996,2082.4315803976233,5
192278100,2023-03-07,130000,3,2,1200,1920,19133,1,4,3,175,2699433.9767064,252450.18662463,7313,1536.4327077068108,6
181323500,2023-03-01,400000,4,2,1566,1925,19125,1,3,3,143,2702103.94905673,242160.95359422,3798,1826.9698016652426,5
121204300,2023-03-10,209000,2,1,884,1925,19144,1,2,2,245,2693623.47225131,267480.04698479,3694,1707.5368836423277,3
011247000,2023-03-01,195000,2,1,700,1920,19147,1,4,4,27,2696494.82707289,228255.75535479,4680,1386.93855242575,9
888582756,2023-03-20,149000,1,1,654,1960,19116,1,4,4,358,2730088.44590914,296831.45514539,860,623.1163529664242,1
421600700,2023-03-17,185000,3,1,1500,1930,19120,1,4,4,289,2707457.92620964,260236.58082871,2777,2008.6377376098026,2
102528100,2023-03-20,155000,3,1,1146,1925,19138,1,4,4,265,2695853.55342107,275357.26121722,4002,1866.1765726374392,3
341090400,2023-03-03,169000,3,1,1314,1925,19139,1,4,3,96,2671725.89892057,239516.64457838,7141,2358.781842204422,5
372448200,2023-03-17,55000,3,1,1350,1915,19133,1,4,4,175,2699067.72481422,253809.96671346,7451,1153.6274392259827,4
314097400,2023-03-20,434500,3,1,1426,1875,19125,1,3,2,160,2705227.33093332,246443.44010797,4331,794.6756215644693,5
394398400,2023-03-17,345000,2,2,1070,1920,19148,1,4,2,40,2692673.8288094,224186.48790281,4922,1869.9217896477862,5
302214500,2023-03-20,725000,3,2,1643,1925,19146,1,2,2,13,2688023.38305782,232008.57068379,3897,2193.888112426675,5
433210100,2023-02-17,92000,3,1,990,1930,19140,1,4,4,197,2700019.42894757,259954.80186471,5444,1624.016550871255,1
592270800,2023-03-14,199000,3,1,1280,1925,19144,1,3,2,252,2690291.53173673,270127.77397279,3642,819.6780441880662,5
591192700,2023-03-03,125000,3,1,1054,1905,19144,1,4,4,246,2690492.20751648,269194.46809663,3921,978.5964663447483,3
251230000,2023-03-04,232500,3,1,1019,1920,19134,1,4,3,180,2710181.56774397,248076.72227447,2760,804.3553577621478,5
888056634,2023-03-03,365000,2,2,865,1870,19106,1,4,4,1,2698596.19065231,237479.9455678,4948,2628.5043584917025,1
661159200,2023-03-20,286000,2,1,897,1967,19114,1,4,4,353,2740393.13396114,283397.50432305,847,982.2109446432843,2
262078200,2023-03-08,530000,3,2,1732,1960,19145,1,4,4,373,2689908.49739781,220390.69398521,1586,2357.8954856031773,1
591147900,2023-03-03,40000,3,1,880,1950,19144,1,5,4,246,2689134.53733157,267306.09818572,4519,703.0081704967504,3
212473723,2023-03-20,420000,4,2,1746,1996,19128,1,3,3,215,2674614.4476054,267254.92965288,1225,1978.429220714913,1
212331224,2023-03-10,636050,3,2,2435,2021,19128,1,1,1,215,2674377.00188605,266924.67178321,1231,1626.07039331023,1
888111378,2023-03-08,570000,2,2,1317,1900,19103,1,3,4,4,2689752.82579315,237260.37874971,6778,3357.360334686193,1
322073600,2023-03-16,100000,4,3,1380,1915,19121,1,4,4,152,2691784.73905215,248603.0434003,8774,1817.8053373909513,6
401025300,2023-03-01,102000,3,1,1109,1925,19143,1,4,4,70,2676338.08818698,229075.90233655,5091,829.2295117391888,2
301220900,2023-03-08,470000,3,1,1190,1925,19146,1,4,3,19,2690061.73593648,231749.63649037,5501,1087.8348752569643,5
888000859,2023-03-10,3480945,3,3,2207,2022,19103,1,1,1,7,2690876.59159023,235520.10565546,10426,3056.738129655492,2
888000821,2023-03-14,2490000,2,2,1737,2022,19103,1,1,1,7,2690876.59159023,235520.10565546,10426,3056.738129655492,2
301149300,2023-03-08,455000,2,1,840,1920,19146,1,3,2,19,2690937.27191506,232050.06896038,7139,539.6960092989051,6
422141200,2023-03-17,184000,3,1,1200,1935,19120,1,3,4,286,2703514.93245523,263426.91237456,5400,2110.172032706521,3
888116314,2023-03-08,453900,2,2,1154,1925,19103,1,3,4,4,2692536.16832356,236901.21542604,12776,4066.3309252881536,0
181197500,2023-02-28,400000,3,1,1184,1925,19125,1,4,4,158,2702981.92105407,245195.61025456,4660,1045.942761193016,5
011109000,2023-03-13,345000,3,1,1260,1920,19148,1,4,3,27,2697959.89500889,226925.95355247,4033,1430.8014530373177,5
365121500,2023-03-15,175000,3,1,1264,1925,19146,1,4,4,30,2691624.9175214,228790.23689738,5428,1227.7958812265542,10
365165700,2023-03-04,495000,3,3,1470,2015,19146,1,3,3,30,2691347.6621704,228989.68859822,5416,1512.552378026741,10
291332500,2023-03-13,385000,3,3,1396,1925,19121,1,4,2,138,2689446.65284906,244272.06124863,6295,1128.665525040288,5
888057672,2023-03-01,291000,1,1,890,1900,19106,1,4,4,10,2699197.5874154,234698.76707505,3892,3253.5658285415657,1
